Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	LossBeforeUpdate	LossAfterUpdate
5.893540859222412	0	4.40789473684	2.40345674806	14.0	2.0	4.40789473684	2.40345674806	1005	1005	7.77686	7.69165
6.215165853500366	1	5.82558139535	3.89003455615	26.0	2.0	5.82558139535	3.89003455615	1002	2007	10.9045	10.7231
6.500975131988525	2	8.45	6.17906411468	31.0	2.0	8.45	6.17906411468	1014	3021	15.8904	15.8859
6.7753119468688965	3	10.1313131313	6.27105981513	40.0	2.0	10.1313131313	6.27105981513	1003	4024	16.8846	17.0925
7.039576530456543	4	11.043956044	8.02045748046	39.0	2.0	11.043956044	8.02045748046	1005	5029	20.6728	20.9414
7.306870460510254	5	11.0989010989	7.71904302139	42.0	2.0	11.0989010989	7.71904302139	1010	6039	20.1065	20.335
7.579574346542358	6	11.2808988764	7.98170487272	42.0	2.0	11.2808988764	7.98170487272	1004	7043	20.6131	20.6971
7.855247497558594	7	10.6808510638	7.72563123629	49.0	3.0	10.6808510638	7.72563123629	1004	8047	20.2295	20.2292
8.156913042068481	8	10.3775510204	7.12643155131	45.0	2.0	10.3775510204	7.12643155131	1017	9064	18.3788	18.3705
8.44775938987732	9	9.82524271845	6.2743540022	33.0	2.0	9.82524271845	6.2743540022	1012	10076	17.2434	17.2004
8.715466976165771	10	10.1616161616	5.67238048956	27.0	2.0	10.1616161616	5.67238048956	1006	11082	16.74	16.6704
8.976946592330933	11	12.1529411765	8.71848055077	54.0	3.0	12.1529411765	8.71848055077	1033	12115	21.9985	22.0489
9.235578536987305	12	11.7674418605	7.46725318977	37.0	3.0	11.7674418605	7.46725318977	1012	13127	19.8986	19.9611
9.49242615699768	13	11.632183908	8.16371977213	41.0	2.0	11.632183908	8.16371977213	1012	14139	20.7892	20.903
9.741315126419067	14	17.25	12.6367519561	61.0	2.0	17.25	12.6367519561	1035	15174	31.0054	31.0289
9.991275548934937	15	14.8115942029	11.3842955169	52.0	2.0	14.8115942029	11.3842955169	1022	16196	27.8819	27.8834
10.245200634002686	16	14.8088235294	10.0896821977	44.0	2.0	14.8088235294	10.0896821977	1007	17203	25.725	25.6538
10.4904625415802	17	17.275862069	11.5978492409	44.0	2.0	17.275862069	11.5978492409	1002	18205	28.872	28.8374
10.736279249191284	18	15.90625	10.8939759013	48.0	2.0	15.90625	10.8939759013	1018	19223	27.3056	27.3103
10.9829683303833	19	18.1228070175	12.6575269548	70.0	2.0	18.1228070175	12.6575269548	1033	20256	31.3777	31.397
11.233787536621094	20	19.6296296296	14.7287779487	68.0	5.0	19.6296296296	14.7287779487	1060	21316	35.4626	35.4564
11.470809936523438	21	24.119047619	15.4306472736	71.0	2.0	24.119047619	15.4306472736	1013	22329	39.0285	38.9978
11.709640264511108	22	22.0434782609	14.4567669152	69.0	4.0	22.0434782609	14.4567669152	1014	23343	36.0339	35.9897
11.941983699798584	23	26.4210526316	19.5348966817	76.0	4.0	26.4210526316	19.5348966817	1004	24347	45.6762	45.7728
12.176848411560059	24	33.1290322581	22.0230699209	78.0	7.0	33.1290322581	22.0230699209	1027	25374	53.6912	54.0784
12.414287328720093	25	23.5348837209	18.6464646405	77.0	3.0	23.5348837209	18.6464646405	1012	26386	43.844	44.1637
12.653135538101196	26	26.0256410256	19.2826309242	70.0	2.0	26.0256410256	19.2826309242	1015	27401	45.3489	45.4046
12.889806509017944	27	27.5135135135	16.7180459572	71.0	2.0	27.5135135135	16.7180459572	1018	28419	42.6547	42.588
13.130164384841919	28	30.7647058824	25.6010785889	90.0	2.0	30.7647058824	25.6010785889	1046	29465	57.8779	57.8479
13.372738122940063	29	34.1290322581	24.2057603588	115.0	6.0	34.1290322581	24.2057603588	1058	30523	56.7413	56.9851
13.606575012207031	30	54.4736842105	25.0207669979	102.0	5.0	54.4736842105	25.0207669979	1035	31558	75.9396	77.7314
13.84023380279541	31	41.08	22.4301939359	80.0	4.0	41.08	22.4301939359	1027	32585	59.779	62.3946
14.072892904281616	32	27.8333333333	20.1804360706	76.0	3.0	27.8333333333	20.1804360706	1002	33587	47.9656	49.2426
14.316328048706055	33	19.1698113208	13.3709567672	58.0	3.0	19.1698113208	13.3709567672	1016	34603	32.3544	32.732
14.566413640975952	34	13.3733333333	9.62880862597	43.0	2.0	13.3733333333	9.62880862597	1003	35606	23.3808	23.5963
14.817631244659424	35	11.8470588235	9.89177422063	57.0	3.0	11.8470588235	9.89177422063	1007	36613	23.2033	23.2531
15.068957090377808	36	12.2195121951	8.72901579992	42.0	3.0	12.2195121951	8.72901579992	1002	37615	20.8671	20.8554
15.326239824295044	37	12.6913580247	8.33798681228	38.0	3.0	12.6913580247	8.33798681228	1028	38643	20.4609	20.3403
15.570627689361572	38	15.4769230769	11.0315738361	55.0	3.0	15.4769230769	11.0315738361	1006	39649	26.0761	26.0494
15.808547496795654	39	20.612244898	13.7333443859	66.0	3.0	20.612244898	13.7333443859	1010	40659	32.8492	33.1108
16.041932344436646	40	34.0666666667	18.251818783	69.0	9.0	34.0666666667	18.251818783	1022	41681	48.2648	50.262
16.28244161605835	41	50.7142857143	26.5995754659	118.0	5.0	50.7142857143	26.5995754659	1065	42746	71.5743	79.3097
16.506890535354614	42	77.1538461538	66.7461853175	295.0	14.0	77.1538461538	66.7461853175	1003	43749	145.461	150.157
16.75042200088501	43	51.4761904762	37.7404911362	147.0	4.0	51.4761904762	37.7404911362	1081	44830	86.4357	92.8664
16.999378442764282	44	15.5151515152	12.6254221943	67.0	2.0	15.5151515152	12.6254221943	1024	45854	28.5357	28.3541
17.245999813079834	45	18.298245614	14.3220660475	52.0	2.0	18.298245614	14.3220660475	1043	46897	32.6323	32.8593
17.47200894355774	46	47.7142857143	30.1932550922	101.0	5.0	47.7142857143	30.1932550922	1002	47899	72.3121	74.9265
17.710749864578247	47	76.5714285714	33.22803095	144.0	3.0	76.5714285714	33.22803095	1072	48971	99.5106	101.512
17.934015035629272	48	77.0	28.4280468227	121.0	10.0	77.0	28.4280468227	1001	49972	95.7948	97.38
18.16321897506714	49	73.0714285714	30.9341796301	137.0	24.0	73.0714285714	30.9341796301	1023	50995	93.6046	95.2424
18.390202283859253	50	59.7058823529	31.6316384911	115.0	7.0	59.7058823529	31.6316384911	1015	52010	81.2243	82.2717
18.62580895423889	51	43.25	26.4468807234	95.0	7.0	43.25	26.4468807234	1038	53048	62.9735	63.2062
18.862598419189453	52	33.3225806452	26.4872301512	116.0	3.0	33.3225806452	26.4872301512	1033	54081	58.0683	58.0619
19.09282922744751	53	38.8846153846	27.9688383234	99.0	4.0	38.8846153846	27.9688383234	1011	55092	62.5816	62.4985
19.332725286483765	54	37.6785714286	30.8823268593	142.0	3.0	37.6785714286	30.8823268593	1055	56147	68.93	68.8729
19.576457023620605	55	39.7407407407	24.5380922205	95.0	3.0	39.7407407407	24.5380922205	1073	57220	57.8512	58.0282
19.807134866714478	56	53.8421052632	34.9891158383	134.0	9.0	53.8421052632	34.9891158383	1023	58243	81.2701	81.6346
20.03731942176819	57	60.2941176471	30.964428749	109.0	7.0	60.2941176471	30.964428749	1025	59268	78.8706	79.7627
20.271016120910645	58	69.6666666667	30.8170227129	114.0	24.0	69.6666666667	30.8170227129	1045	60313	89.9836	91.9555
20.510117530822754	59	89.1666666667	30.013422923	122.0	8.0	89.1666666667	30.013422923	1070	61383	105.976	112.5
20.74707865715027	60	75.7142857143	40.9885499193	144.0	6.0	75.7142857143	40.9885499193	1060	62443	102.879	109.446
20.98905301094055	61	20.8979591837	19.6990053597	94.0	2.0	20.8979591837	19.6990053597	1024	63467	41.3105	41.9486
21.239098072052002	62	12.4197530864	8.68781493438	42.0	2.0	12.4197530864	8.68781493438	1006	64473	19.8048	19.8403
21.490772008895874	63	12.7974683544	10.9190111144	57.0	2.0	12.7974683544	10.9190111144	1011	65484	23.6755	23.3822
